#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
1941;1941: 카운터 어택;MAME sgx;1941 - counter attack (japan);1991;Hudson;Shooting;;;;;;;;;;
1941;1941: 카운터 어택;MAME;0;1990;Capcom;Shooting;;;;;;;cps1;;;
1942;1942;MAME;0;1984;Capcom;Shooting;2;270;Joystick (8-way);good;1;raster;0;0;0;2
1942k;1942;MAME cpg120-cart;1942 (Japan);1987;ASCII;Shooting;1;;;;;;MSX ROMPAC;all;1MB;
1943;1943: 미드웨이 해전;MAME;0;1987;Capcom;Shooting;;;;;;;;;;
1943kai;1943 카이: 미드웨이 해전;MAME;1943;1987;Capcom;Shooting;;;;;;;;;;
1944;1944: 루프 마스터;MAME;0;2000;Capcom;Shooting;2;0;Joystick (8-way);good;1;raster;cps2;0;0;2
19xx;19XX: 운명과의 전쟁;MAME;0;1996;Capcom;Shooting;;;;;;;cps2;;;
2020bb;2020 슈퍼 베이스볼;MAME;0;1991;SNK;Sports;;;;;;;neogeo;;;
3dragon;용의 전설;MAME cpg120-cart;;1989;Zemina;Shooting;1;;;;;;MSX ROMPAC;mini;256KB;
3wonders;쓰리 원더스;MAME;0;1991;Capcom;Action;;;;;;;cps1;;;
64street;64번가;MAME;0;1991;Jaleco;Arcade;2;0;Joystick (8-way);good;1;raster;0;0;0;2
88games;88 게임즈;MAME;0;1988;Konami;Sports;4;0;Joystick (8-way);good;1;raster;0;0;0;3
aburner2;애프터 버너 II;MAME;0;1987;SEGA;Shooting;1;0;Joystick (analog);good;1;raster;0;0;0;2
aburner2j;애프터 버너 II;MAME megadrij;aburner2;1990;SEGA;Shooting;1;;;;;;;;4MB;
aburnerju;에프터버너 컴플리트 [32X];MAME 32x;aburner;1994;SEGA;Shooting;1;;;;;;;;16MB;
acrobatm;아크로뱃 미션;MAME;0;1991;Taito;Shooting;2;0;Joystick (8-way),dial;good;1;raster;;0;0;2
actfancr;액트 팬서: 진화형 전뇌병기;MAME;0;1989;Data east;Shooting;1;0;;good;1;;;;;
actionfg;액션 파이터;MAME sms;Action Fighter (Japan, Europe);;;Action;;;;;;;;;;
actman;액트맨;MAME cpg120-cart;;1985;MASS TAEL;Action;1;;;;;;MSX ROMPAC;all;128KB;
Advanced Daisenryaku (1991,Sega,SM)(J) [T+Eng65%];어드벤스드 대전략;SEGA Mega Drive;;1991;SEGA;SLG;1;;;;;;;;8MB;
advbatru;배트맨과 로빈의 모험;MAME Genesis;Adventures of Batman & Robin, The (USA);1995;SEGA;Action;1;;;;;;;;16MB;
Adventure Kid (K);원더키드;MSX Cartridge;;1993;Open;Action;1;;;;;;MSX ROMPAC;mini;1MB;
advisln3;다카하시 명인의 모험도 3;MAME nes;Adventure Island 3 (USA);1992;Hudson;Action;1;;;;;;;;;2
aeroblst;에어로 블라스터;MAME megadrij;airbustr;1991;Kaneko;Shooting;2;;;;;;;;4MB;
aeroblst;에어로 블라스터;MAME pce;;1990;Hudson;Shooting;;;;;;;;;;
aerofgt;에어로 파이터즈;MAME;0;1992;Video system;Shooting;2;270;Joystick (8-way);good;1;raster;0;0;0;2
agallet;에어 갈렛;MAME;0;1996;Banpresto;Shooting;2;270;Joystick (8-way);good;1;raster;0;0;0;3
agidooly;아기공룡 둘리;MAME sms;Agigongnyong Dooly (Korea);;;Shooting;;;;;;;;;;
airbustr;에어버스터;MAME;0;1990;kaneko;Shooting;2;0;Joystick (8-way);good;1;raster;0;0;0;2
airco22b;에어 컴뱃 22;MAME;0;1995;Namco;Shooting;1;;;;;;;;;
airdiver;에어 다이버;MAME Genesis;Air Diver (USA);1990;Seismic;Shooting;1;;;;;;;;4MB;
airdivr2;슈퍼 에어 다이버 2;MAME snes;;1995;Asmik;Shooting;;;;;;;;;;
airwolf;에어 울프;MAME;0;1987;큐고;Shooting;2;0;Joystick (8-way);good;1;raster;0;0;0;2
airzonk;PC전인: 펑킥 사이보그스;MAME tg16;Air Zonk (U);1992;Hudson;Shooting;;;;;;;;;;
Akanbe Dragon (1988)(Winky Soft);아칸베 드래곤;MSX Cartridge;;1988;Winky Soft;Action;1;;;;;;MSX2 Disk;all;1Disc;
akatana;아카이 카타나;MAME;0;2010;Cave;Shooting;2;;;;;;;;;
akumaden;악마성 전설 / 캐슬배니아 3;MAME nes;;1989;Konami;Action;1;;;;;;;;;
akumajo;악마성 드라큐라 - 뱀파이어 킬러;MAME megadrij;Castlevania - Bloodlines (USA);1994;Konami;Action;1;;;;;;;;8MB;
Akumajou Dracula XX (K);악마성 드라큘라: 피의 윤회 (한글판);SNES;;1995;Konami;Action;;;;;;;;;;
akumaspc;악마성 드라큐라 스페셜 - 나는 드라큐라군;MAME nes;Akumajou Special - Boku Dracula-kun (1990,Konami,AT)(J)(T-Eng);;;Action;1;;;;;;;;;2
aladdinu;알라딘;MAME Genesis;Disney's Aladdin (1993,Sega,AT)(U);1993;SEGA;Action;1;;;;;;;;16MB;
Alcahest (K);알카에스트 (한글판);SNES;;1993;Square;RPG;;;;;;;;;;
aldynes;올디니스;MAME sgx;aldynes (japan);1991;Hudson;Shooting;;;;;;;;;;
Aleste 2 (1989)(Compile)(J) ASCII 16;알레스트 2 (Rom버전);MSX Cartridge;Aleste 2;1989;Compile;Shooting;1;;;;;;MSX2 Disk;all;3Disc;
Aleste 2;알레스트 2 (Disk)(한글판);MSX Disk;;1989;Compile;Shooting;1;;;;;;MSX2 Disk;all;3Disc;
Aleste Gaiden (1989,Compile,ST);알레스트 외전;MSX Cartridge;;1989;Compile;Shooting;1;;;;;;MSX2 Disk;all;1Disc;
aleste;알레스트;MAME cpg120-cart;;1988;Compile;Shooting;1;;;;;;MSX2 ROMPAC;all;2MB;
Alex Kidd in Miracle World (Korea);알렉스 키드 - 미라클 월드 (한글판);SMS_alex;Alex Kidd in Miracle World (Korea);;;Action;;;;;;;;;;
alexkidd;알렉스 키드 - 더 로스트 스타즈;MAME;0;1991;SEGA;Action;2;;;;;;;;;
alexkiddk;알렉스키드 천공마성 (한글판);MAME megadrij;Alex Kidd in the Enchanted Castle (1988,Sega,AT)(K);1990;SEGA;Action;1;;;;;;;;2MB;
alexlost;알렉스 키드 - 잃어버린 별;MAME sms;Alex Kidd - The Lost Stars (World);;;Action;;;;;;;;;;
aliens;에얼리언스;MAME;0;1990;Konami;Action;2;270;Joystick (8-way);good;1;raster;0;0;0;2
aliensol;에일리언 솔저  ;MAME megadriv;Alien Soldier (E) [!];1995;SEGA;Action;2;;;;;;;;16MB;
Alisia Dragoon (K) [!];알리시아 드래곤 (한글판);SEGA Mega Drive;;1992;Game Arts;Action;1;;;;;;;;8MB;
alpham2;아소 II - 라스트 가디언 / 알파 미션 II;MAME;0;1991;SNK;Shooting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4
altbeast;수왕기 / 얼터드 비스트;MAME;0;1988;SEGA;Action;2;0;Joystick (8-way);good;1;raster;0;0;0;3
amtruckk;아메리칸 트럭;MAME cpg120-cart;amtruck;1985;Nihon Telenet;Racing;1;;;;;;MSX ROMPAC;all;256KB;
anaza;아나자 - 칼레이도스코프 스페셜;MAME cpg120-cart;;1987;GA-Yume;Shooting;1;;;;;;MSX ROMPAC;all;256KB;
androdun;안드로 듀노스;MAME;0;1992;Visco;Shooting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;2
androgyna;안드로 기누스;MAME cpg120-cart;Androgynus (1988)(Telenet Japan)(J);1988;Nihon Telenet;Shooting;1;;;;;;MSX2 ROMPAC;all;2MB;
Ankoku Shinwa - Yamato Takeru Densetsu (K);암흑신화 - 야마토타케루 전설 (한글판);MSX Disk;ankokush;1989;Tokyo Shoseki;Adventure;1;;;;;;MSX2 Disk;all;1Disc;
antarctj;남극탐험;MAME cpg120-cart;antarct;1984;Konami;Racing;1;;;;;;MSX ROMPAC;all;128KB;
aof2;용호의 권 2;MAME;0;1994;SNK;VS Fighting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4
aof3;용호의 권 3;MAME;0;1996;SNK;VS Fighting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4
aofkt;용호의 권 1 (한글판);EKMAME;aof;1992;SNK;VS Fighting;;;;;;;neogeo;;;
aoiblink;푸른 망아지 브링크;MAME pce;;1990;Hudson;Action;;;;;;;;;;
aquajack;아쿠아 잭;MAME;0;1989;Taito;Shooting;;;;;;;;;;
arabfgt;아라비안 파이트;MAME;0;1992;SEGA;Arcade;2;0;Joystick (8-way);good;1;;;;;
arabianm;아라비안 매직;MAME;0;1992;Taito Corporation Japan;Arcade;4;0;Joystick (8-way),dial;good;1;raster;0;0;0;4
arcadian;아르카디아 / 래피드 히어로;MAME;0;1997;NMK;Shooting;2;0;Joystick (8-way),dial;good;1;raster;stvbios;0;0;2
arcus;아쿠스 오딧세이 ;MAME Genesis;Arcus Odyssey (U) [!];1991;Renovation;Action;1;;;;;;;;8MB;
arkanoid;알카노이드;MAME;0;1986;Taito Corporation Japan;Puzzle;2;90;dial;good;1;raster;0;0;0;1
arknoid2;알카노이드 2;MAME cpg120-cart;Arkanoid II - Revenge of Doh (Japan);1987;Nidecom;Puzzle;1;;;;;;MSX2 ROMPAC;all;1MB;
arknoid2;알카노이드 2;MAME;0;1987;Taito Corporation Japan;Puzzle;2;270;dial;good;1;raster;0;0;0;1
arkretrn;알카노이드 리턴;MAME;0;1997;Taito;Puzzle;4;0;Joystick (8-way),dial;good;1;raster;0;0;0;4
armwar;아머드 워리어스;MAME;0;1994;Capcom;Arcade;3;0;Joystick (8-way);good;1;raster;0;0;0;3
aroid;알파로이드;MAME cpg120-cart;Alpha Roid (1986)(Pony Canyon)(J);1986;Pony Canyon;Shooting;1;;;;;;MSX ROMPAC;all;256KB;
arrow;애로우 플래시;MAME Genesis;Arrow Flash (1990,Sega,ST)(UE);1990;SEGA;Shooting;1;;;;;;;;4MB;
Ashguine 2 (1987)(T&E Soft)(K);아쉬기네 2 - 허공의 아성 (한글판);MSX Cartridge;;1987;T&E Soft;Action;1;;;;;;MSX2 ROMPAC;all;2MB;
ashura;아수라, 특명;MAME sms;Ashura (Japan);;;Action;;;;;;;;;;
asndynmt;다이나마이트 형사 EX;SEGA NAOMI;0;2007;SEGA;3D Action;;;;;;;;;;
aso;아소;MAME;0;1985;SNK;Shooting;2;270;Joystick (8-way);good;1;raster;0;0;0;3
Assault Suits Valken (K);중장기병 발켄 (한글판);SNES;;1992;Masaya;Shooting;;;;;;;;;;
asterix;아스테릭스;MAME;0;1992;Konami;Arcade;2;0;Joystick (8-way);good;1;raster;;0;0;3
astorm;에얼리언 스톰;MAME;0;1990;SEGA;Action;2;270;Joystick (8-way);good;1;raster;0;0;0;3
astrass;아스트라 슈퍼스타즈;MAME;0;1996;Sunsoft;VS Fighting;2;;;;;;stvbios;;;
astrofl;아스트로 플래시;MAME sms;Astro Flash (Japan);;;Shooting;;;;;;;;;;
astrow;아스트로 워리어;MAME sms;Astro Warrior (Japan, USA);;;Action;;;;;;;;;;
astyanax;아스티아낙스;MAME;0;1989;Jaleco;Action;2;0;Joystick (8-way);good;1;raster;0;0;0;2
asurabld;아수라 블레이드 - 왕조의 검;MAME;0;1998;Fuuki;VS Fighting;2;0;Joystick (8-way);imperfect;1;raster;0;0;0;3
asurabus;아수라 버스터 - 영원한 전사들;MAME;0;2000;Fuuki;VS Fighting;2;0;Joystick (8-way);imperfect;1;raster;0;0;0;3
atetris;테트리스;MAME;0;1988;Atari;Puzzle;2;0;Joystick (3 (half4)-way);good;1;raster;0;0;0;1
athena;아테나;MAME;0;1986;SNK;Action;2;0;Joystick (4-way);good;;;;;;
ausfache;아카츠키 전광전기 Ausf. Achse;SEGA NAOMI;0;2008;;VS Fighting;;;;;;;;;;
avsp;에일리언 대 프레데터;MAME;0;1994;Capcom;Arcade;3;0;Joystick (8-way);good;1;raster;cps2;0;0;3
avspirit;어벤징 스피릿;MAME;0;1991;Jaleco;Action;;;;;;;;;;
axelayu;엑슬레이;MAME snes;Axelay (USA);1992;Konami;Shooting;;;;;;;;;;
aztecadv;아즈텍 어드벤처 - 파라다이스 황금길;MAME sms;Aztec Adventure - The Golden Road to Paradise (World);;;Action;;;;;;;;;;
azumanga;아즈망가 대 퍼즐 버블;SEGA NAOMI;0;2002;Taito;Puzzle;;;;;;;;;;
baddudes;드래곤 닌자 / 배드 듀디스 VS 드래곤닌자;MAME;0;1988;Data east USA;Action;2;0;Joystick (8-way);good;1;raster;0;0;0;5
baduk;재믹스 바둑교실;MAME cpg120-cart;Zemmix Baduk Gyosil (19xx)(K);19??;N/A;Board;1;;;;;;MSX ROMPAC;all;128KB;
Ball Bullet Gun Survival Game Simulation (K);볼 불렛 건 (한글판);SNES;;1995;I'Max;Action;;;;;;;;;;
balonfgtu;벌룬 파이트;MAME nes;;1987;Nintendo;Puzzle;2;;;;;;;;;
Bank Panic (K);은행강도 / 뱅크패닉 (한글판);MSX Cartridge;bankp;1987;SEGA;Action;2;;;;;;MSX ROMPAC;all;256KB;
bankp;뱅크패닉 - 은행강도;MAME;0;1984;SEGA;Gun Shooting;;;;;;;;;;
barunba;바룬바;MAME pce;Barunba (J);1990;Namcot;Shooting;;;;;;;;;;
Barunba;바룬바;MSX Cartridge;;1990;Namco;Shooting;1;;;;;;MSX2 Disk;all;1Disc;
baryon;바리온;MAME;0;1997;SemiCom;Shooting;;;;;;;;;;
basschal;세가 배스 피니싱 챌린지;Atomiswave;0;1997;SEGA;Sports;;;;;;;;;;
batcir;배틀 서킷;MAME;0;1997;Capcom;Arcade;4;0;Joystick (8-way);good;1;raster;cps2;0;0;2
batlcity;배틀시티;MAME nes;Battle City (1985,Namco,AT)(J);;;Shooting;1;;;;;;;;;2
batlmast;배틀 마스터 - 궁극의 전사들;MAME snes;;1993;Toshiba;VS Fight;;;;;;;;;;
batman;배트맨;MAME;0;1991;Atari;Action;1;0;Joystick (8-way);good;;;;;;
batmanfr;배트맨 포에버: 더 아케이드 게임;MAME;0;1996;Acclaim;Arcade;2;0;Joystick (8-way),dial;good;1;raster;stvbios;0;0;4
batmanrju;다이나마이트 배트맨 / 배트맨 리턴 오브 조커;MAME nes;Batman - Return of the Joker (U);;;Action;1;;;;;;;;;2
batmanrnu;배트맨 리턴즈;MAME snes;Batman Returns (USA);1993;Konami;Action;;;;;;;;;;
batmanu;배트맨;MAME Genesis;Batman (1991,Sun Soft,AT)(U);1990;Sunsoft;Action;1;;;;;;;;4MB;
batriderk;배트라이더 (한글판);MAME;batrider;1998;Raizing;Shooting;;;;;;;;0;0;4
batsugunsp;바츠군 - 스페셜 버전;MAME;batsugun;1993;Toaplan;Shooting;2;270;Joystick (8-way);good;1;raster;0;0;0;3
battlace;배틀 에이스;MAME sgx;battle ace (japan);1989;Hudson;Shooting;;;;;;;;;;
Battle Robot Retsuden (K);배틀 로봇열전 (한글판);SNES;;1995;Banpresto;SRPG;;;;;;;;;;
bballoon;BnB 아케이드;MAME;0;1999;Eolith;Puzzle;2;0;Joystick (8-way),dial;good;1;raster;stvbios;0;0;2
bdrdown;보더 다운;SEGA NAOMI;0;2004;G.rev;Shooting;;;;;;;;;;
beavisu;비비스 앤 벗헤드;MAME Genesis;;1994;Viacom;Action;2;;;;;;;;8MB;
beball;비 볼;MAME pce;;1990;Hudson;Puzzle;;;;;;;;;;
bel;비하인드 에너미라인;Model2;0;1998;SEGA;Gun Shooting;;;;;;;;;;
berabohm;초절륜인 베라보맨;MAME;0;1988;Namco;Action;;;;;;;;;;
bformula;배틀 포뮬라 / 스파이 헌터;MAME nes;;1992;SUN SOFT;Shooting;1;;;;;;;;;2
bgaregga;배틀 가레가;MAME;0;1996;Raizing;Shooting;2;0;Joystick (8-way);good;1;raster;0;0;0;2
bigfight;빅파이트;MAME;0;1992;Tatsumi;Arcade;4;0;Joystick (8-way);imperfect;1;raster;0;0;0;3
Bikkuri Nekketsu Shin Kiroku! - Harukanaru Kin Medal (K);열혈 신기록 - 머나먼 금메달 (한글판);NES;;;;Action;2;;;;;;;;;2
biometalu;바이오 메탈;MAME snes;;1993;Athena;Shooting;;;;;;;;;;
bjtwin;봄잭 트윈;MAME;0;1993;NMK;Action;2;270;Joystick (8-way);good;1;raster;0;0;0;2
blazeon;블레이즈 온;MAME;0;1992;Atlus;Shooting;2;0;Joystick (8-way);good;1;raster;0;0;0;2
blazstar;블레이징 스타;MAME;0;1998;yumekobo;Shooting;2;0;Joystick (8-way);good;1;raster;neogeo;0;0;4
bldyror2;동물철권 2 / 블로디 로어 2;PSXmame;0;1998;Raizing;VS Fighting;2;0;Joystick (8-way);imperfect;1;raster;psarc95;0;0;6
blizyuki;미소녀 레슬러 열전 - 블리자드 유키 난입!!;MAME snes;;1996;KSS;Sports;;;;;;;;;;
blkdrgonk;블랙 타이거 (한글판);EKMAME;blktiger;1987;Capcom;Action;2;0;Joystick (8-way);good;1;raster;0;0;0;2
blokpong;블록 퐁-퐁;Atomiswave;0;;Sammy;Puzzle;;;;;;;;;;
blswhstl;나왔다!! 트윈비;MAME;0;1991;Konami;Shooting;2;90;Joystick (8-way);good;1;raster;0;0;0;2
bmaster;블레이드 마스터;MAME;0;1991;IGS;Action;;;;;;;;;;
bmcompm2;비트매니아 컴플리트 믹스 2;MAME;0;2000;Konami;Rhythm;2;0;dial;good;1;raster;0;0;chd;5
bmfinal;비트매니아 파이널;MAME;0;2002;Konami;Rhythm;2;0;dial;good;1;raster;0;0;chd;5
bnzabros;보난자 브라더스;MAME megadrij;;1992;SEGA;Action;2;;;;;;;;4MB;
bnzabros;보난자브루스;MAME;0;1990;SEGA;Action;2;0;Joystick (8-way);good;1;raster;0;0;0;3
Bomberman '94 (J);봄버맨 '94;PC-Engine;Bomberman '94 (J);1993;Hudson;Puzzle;;;;;;;;;;
